105
12;6;257.6595;784947;-1;194;-1;-1;-1;-1;302;-1;159;169.5
12;13;428.78425;2440173;326;323.5;-1;-1;-1;-1;503.75;-1;265.5;283.25
12;0;148.7615;1911228;112;111;-1;-1;-1;-1;172.5;-1;91;97.5
12;1;203.2105;1922515;156;154;-1;-1;-1;-1;240.5;-1;126.5;135.5
12;9;305.3025;1358401;233;231.25;-1;-1;-1;-1;360.75;624.25;189.75;202.75
12;4;194.46;1715359;150;148;-1;-1;-1;-1;231;-1;121.5;130.0
12;10;464.9539;2068391;353.4;350.6;-1;-1;-1;-1;546;-1;287.6;307.0
12;5;297.524;1781348;225;224;-1;-1;-1;-1;348;-1;183.5;196.0
12;7;469.621;895016;-1;354;-1;-1;-1;-1;552;-1;290.5;310.0
12;3;265.4375;179015;203.5;202;-1;-1;-1;-1;314.5;-1;165.5;176.5
12;11;208.3965;1661397;-1;158;-1;-1;-1;-1;-1;-1;129.833333333;138.83333333333334
12;2;188.626;593580;-1;142;-1;-1;-1;-1;222;-1;117;124.5
12;8;261.5485;317659;199.5;198;-1;-1;-1;-1;308;-1;162.5;173.5
12;14;175.986;711754;134;133;-1;-1;-1;-1;206.5;-1;108.5;116.0
6;13;229.4625;742328;-1;172;-1;-1;-1;-1;268;-1;141;151.0
6;0;153.623;236509;-1;115;-1;-1;-1;-1;179;-1;94;101.0
6;1;120.565;234905;-1;91;-1;-1;-1;-1;142;-1;75;80.0
6;9;540.599;1261054;-1;408;-1;-1;-1;-1;635;-1;334.5;357.0
6;4;396.698;188845;-1;301;-1;-1;-1;-1;468;-1;247;263.0
6;10;430.1454;463269;-1;324.6;-1;-1;-1;-1;505.4;-1;266;284.4
6;5;147.79;197609;-1;111;-1;-1;-1;-1;173;-1;91;97.0
6;7;287.801;138009;-1;218;-1;-1;-1;-1;339;-1;178;191.0
6;3;519.208;107719;-1;392;-1;-1;-1;-1;610;-1;321;343.0
6;11;86.2103333333;139571;-1;64.3333333333;-1;-1;-1;-1;-1;-1;53;56.666666666666664
6;2;91.396;140092;-1;67;-1;-1;-1;-1;105;-1;55;59.0
6;8;126.399;130225;-1;95;-1;-1;-1;-1;148;-1;78;83.0
6;14;147.79;166537;-1;111;-1;-1;-1;-1;173;-1;91;97.0
13;0;373.3635;2378903;285;283;546.5;469.5;642.5;534.5;441;-1;232;248.0
13;1;350.028;1702557;265;263;-1;-1;-1;-1;410;-1;216;230.5
